S/No,CustomerID,FirstName,LastName,Gender,Email,City,Country,Region
1,C00001,First1,Last1,M,user1@example.com,Accra,Ghana,West Africa
2,C00002,First2,Last2,F,user2@example.com,Nairobi,Kenya,East Africa
3,C00003,First3,Last3,M,user3@example.com,Johannesburg,South Africa,Southern Africa
4,C00004,First4,Last4,F,user4@example.com,Johannesburg,South Africa,Southern Africa
5,C00005,First5,Last5,M,user5@example.com,Accra,Ghana,West Africa
6,C00006,First6,Last6,F,user6@example.com,Johannesburg,South Africa,Southern Africa
7,C00007,First7,Last7,M,user7@example.com,Johannesburg,South Africa,Southern Africa
8,C00008,First8,Last8,F,user8@example.com,London,UK,Europe
9,C00009,First9,Last9,M,user9@example.com,Johannesburg,South Africa,Southern Africa
10,C00010,First10,Last10,F,user10@example.com,Accra,Ghana,West Africa
11,C00011,First11,Last11,M,user11@example.com,Nairobi,Kenya,East Africa
12,C00012,First12,Last12,F,user12@example.com,Lagos,Nigeria,West Africa
13,C00013,First13,Last13,M,user13@example.com,London,UK,Europe
14,C00014,First14,Last14,F,user14@example.com,Johannesburg,South Africa,Southern Africa
15,C00015,First15,Last15,M,user15@example.com,Johannesburg,South Africa,Southern Africa
16,C00016,First16,Last16,F,user16@example.com,London,UK,Europe
17,C00017,First17,Last17,M,user17@example.com,Johannesburg,South Africa,Southern Africa
18,C00018,First18,Last18,F,user18@example.com,London,UK,Europe
19,C00019,First19,Last19,M,user19@example.com,Nairobi,Kenya,East Africa
20,C00020,First20,Last20,F,user20@example.com,Kumasi,Ghana,West Africa
21,C00021,First21,Last21,M,user21@example.com,Nairobi,Kenya,East Africa
22,C00022,First22,Last22,F,user22@example.com,Johannesburg,South Africa,Southern Africa
23,C00023,First23,Last23,M,user23@example.com,Kumasi,Ghana,West Africa
24,C00024,First24,Last24,F,user24@example.com,Ibadan,Nigeria,West Africa
25,C00025,First25,Last25,M,user25@example.com,Nairobi,Kenya,East Africa
26,C00026,First26,Last26,F,user26@example.com,London,UK,Europe
27,C00027,First27,Last27,M,user27@example.com,Nairobi,Kenya,East Africa
28,C00028,First28,Last28,F,user28@example.com,Manchester,UK,Europe
29,C00029,First29,Last29,M,user29@example.com,Manchester,UK,Europe
30,C00030,First30,Last30,F,user30@example.com,London,UK,Europe
31,C00031,First31,Last31,M,user31@example.com,Johannesburg,South Africa,Southern Africa
32,C00032,First32,Last32,F,user32@example.com,Johannesburg,South Africa,Southern Africa
33,C00033,First33,Last33,M,user33@example.com,Kumasi,Ghana,West Africa
34,C00034,First34,Last34,F,user34@example.com,Manchester,UK,Europe
